Department,Module Code , Title,Credits,
Electronic & Computer Engineering,ET4003 , ELECTRO TECHNOLOGY (ED),6,
Electronic & Computer Engineering,ET4004 , TCP / IP NETWORKING,6,
Electronic & Computer Engineering,ET4006 , ELECTRONICS (ED),6,
Electronic & Computer Engineering,ET4008 , TEST ENGINEERING 2: DIGITAL CIRCUIT AND SYSTEM TEST,6,
Electronic & Computer Engineering,ET4009 , APPRENTICESHIP LEARNING PORTFOLIO 5,12,
Electronic & Computer Engineering,ET4010 , APPRENTICESHIP LEARNING PORTFOLIO 6,12,
Electronic & Computer Engineering,ET4011 , FUNDAMENTALS OF COMPUTER ORGANISATION,6,
Electronic & Computer Engineering,ET4013 , COMMUNICATIONS NETWORKING FUNDAMENTALS,6,
Electronic & Computer Engineering,ET4014 , DATA SECURITY,6,
Electronic & Computer Engineering,ET4015 , TEST ENGINEERING 1: PRODUCT DEVELOPMENT AND ATE SYSTEMS,6,
Electronic & Computer Engineering,ET4016 , APPRENTICESHIP LEARNING PORTFOLIO 2,12,
Electronic & Computer Engineering,ET4017 , COMMUNICATIONS NETWORKING STANDARDS,6,
Electronic & Computer Engineering,ET4018 , MOBILE AND WIRELESS COMMUNICATIONS,6,
Electronic & Computer Engineering,ET4021 , ELECTRONICS LIFE CYCLE ENGINEERING,6,
Electronic & Computer Engineering,ET4023 , INTRODUCTION TO SECURITY AND CRYPTOGRAPHY,6,
Electronic & Computer Engineering,ET4025 , NETWORK PROTOCOLS LABORATORY,6,
Electronic & Computer Engineering,ET4027 , COMPUTER FORENSICS,6,
Electronic & Computer Engineering,ET4028 , HOST AND NETWORK SECURITY,6,
Electronic & Computer Engineering,ET4031 , ELECTRICAL AUTOMATION,6,
Electronic & Computer Engineering,ET4035 ," COMPUTER LAW, INVESTIGATION AND ETHICS",6,
Electronic & Computer Engineering,ET4038 , MOBILE AND WIRELESS JAVA,6,
Electronic & Computer Engineering,ET4045 , APPRENTICESHIP LEARNING PORTFOLIO 1,18,
Electronic & Computer Engineering,ET4047 , EMBEDDED SOFTWARE,6,
Electronic & Computer Engineering,ET4048 , ELECTRONICS FOR BUILT ENVIRONMENT 2,6,
Electronic & Computer Engineering,ET4057 , ELECTRONICS FOR BUILT ENVIRONMENT 1,6,
Electronic & Computer Engineering,ET4058 , APPRENTICESHIP LEARNING PORTFOLIO 4,12,
Electronic & Computer Engineering,ET4077 , CLOUD COMPUTING,6,
Electronic & Computer Engineering,ET4087 , ELECTRICAL AUTOMATION,6,
Electronic & Computer Engineering,ET4088 , ENERGY MANAGEMENT AND TECHNOLOGY,6,
Electronic & Computer Engineering,ET4097 , APPRENTICESHIP LEARNING PORTFOLIO 3,12,
Electronic & Computer Engineering,ET4111 , ELECTROTECHNOLOGY ID,6,
Electronic & Computer Engineering,ET4121 , LABORATORY SKILLS 1,6,
Electronic & Computer Engineering,ET4122 , ANALOGUE ELECTRONICS 2,6,
Electronic & Computer Engineering,ET4132 , INTRODUCTION TO WEB AND DATABASE TECHNOLOGY,6,
Electronic & Computer Engineering,ET4142 , COMPUTER SYSTEMS ARCHITECTURE,6,
Electronic & Computer Engineering,ET4151 , DIGITAL ELECTRONICS 1,6,
Electronic & Computer Engineering,ET4162 , COMPUTING SYSTEMS ORGANISATION,6,
Electronic & Computer Engineering,ET4203 , ANALOGUE ELECTRONICS 3,6,
Electronic & Computer Engineering,ET4204 , ANALOGUE ELECTRONICS 4,6,
Electronic & Computer Engineering,ET4224 , ROBOTICS 1: SENSORS AND ACTUATORS,6,
Electronic & Computer Engineering,ET4243 , WEB AND DATABASE TECHNOLOGY 2,6,
Electronic & Computer Engineering,ET4244 , OUTCOME BASED LEARNING LABORATORY 2,6,
Electronic & Computer Engineering,ET4253 , COMPUTER SYSTEMS ARCHITECTURE 2,6,
Electronic & Computer Engineering,ET4304 , MODERN COMMUNICATIONS: FUNDAMENTALS,6,
Electronic & Computer Engineering,ET4305 , INSTRUMENTATION AND CONTROL 1,6,
Electronic & Computer Engineering,ET4307 , APPLIED CLOUD COMPUTING,6,
Electronic & Computer Engineering,ET4334 , INTRODUCTION TO CLOUD COMPUTING,6,
Electronic & Computer Engineering,ET4345 , OPERATING SYSTEMS 2,6,
Electronic & Computer Engineering,ET4407 , ELECTRONICS AND THE ENVIRONMENT,6,
Electronic & Computer Engineering,ET4427 , DATA MINING AND KNOWLEDGE RECOVERY,6,
Electronic & Computer Engineering,ET4435 ," COMPUTER NETWORKS, STANDARDS, PROTOCOLS & THE IOT",6,
Electronic & Computer Engineering,ET4437 , DISTRIBUTED COMPUTING AND JAVA,6,
Electronic & Computer Engineering,ET4725 , OPERATING SYSTEMS 1,6,
Electronic & Computer Engineering,ET4907 , ELECTRONIC SYSTEMS PROJECT 1,6,
Electronic & Computer Engineering,ET4908 , ELECTRONIC SYSTEMS PROJECT 2,6,
Electronic & Computer Engineering,ET4927 , PROJECT 1,6,
Electronic & Computer Engineering,ET4928 , PROJECT 2,6,
Electronic & Computer Engineering,MN5001 , NATURAL LANGUAGE PROCESSING: AN INTRODUCTION,6,
Electronic & Computer Engineering,MN5002 , ADVANCED NATURAL LANGUAGE PROCESSING,6,
Electronic & Computer Engineering,MN5162 , NATURAL LANGUAGE UNDERSTANDING,6,
Electronic & Computer Engineering,RE2002 , MACHINE VISION (BLENDED DELIVERY),6,
Electronic & Computer Engineering,RE4002 , SPATIAL ROBOTICS,6,
Electronic & Computer Engineering,RE4006 , SPATIAL ROBOTICS,6,
Electronic & Computer Engineering,RE4012 , MACHINE VISION,6,
Electronic & Computer Engineering,RE4017 , MACHINE VISION,6,
Exchange,GR8000 , EXTERNAL GREP MODULE,9,
Exchange,IP4310 , ACADEMIC EXCHANGE 1,30,
Exchange,IP4320 , ACADEMIC EXCHANGE 2,30,
Exchange,IP4330 , ACADEMIC EXCHANGE 3,30,
Exchange,NG1000 , NUIG STRATEGIC ALLIANCE IDENTIFIER,0,
Exchange,NG1001 , NUIG STRATEGIC ALLIANCE MODULE 1,6,
Exchange,NG1002 , NUIG STRATEGIC ALLIANCE MODULE 2,6,
Exchange,NG1003 , NUIG STRATEGIC ALLIANCE MODULE 3,6,
Exchange,NG1004 , NUIG STRATEGIC ALLIANCE MODULE 4,6,
Exchange,NG1005 , NUIG STRATEGIC ALLIANCE MODULE 5,6,
Exchange,NG1006 , NUIG STRATEGIC ALLIANCE MODULE 6,6,
Exchange,NG1007 , NUIG STRATEGIC ALLIANCE MODULE 7,6,
Exchange,NG1008 , NUIG STRATEGIC ALLIANCE MODULE 8,6,
Exchange,NG1009 , NUIG STRATEGIC ALLIANCE MODULE 9,6,
Exchange,NG1010 , NUIG STRATEGIC ALLIANCE MODULE 10,6,
Exchange,NG1011 , NUIG STRATEGIC ALLIANCE MODULE 1,12,
Exchange,NG1101 , NUIG STRATEGIC ALLIANCE MODULE 1,9,
Exchange,NG1103 , NUIG STRATEGIC ALLIANCE MODULE 3,9,
Exchange,NG1201 , NUIG STRATEGIC ALLIANCE MODULE 1,3,
Exchange,NG1202 , NUIG STRATEGIC ALLIANCE MODULE 2,3,
Exchange,XP1000 , EXCHANGE PROGRAMME IDENTIFIER,0,
Exchange,XP1001 , EXCHANGE PROGRAMME MODULE 1,6,
Exchange,XP1002 , EXCHANGE PROGRAMME MODULE 2,6,
Exchange,XP1003 , EXCHANGE PROGRAMME MODULE 3,6,
Exchange,XP1004 , EXCHANGE PROGRAMME MODULE 4,6,
Exchange,XP1005 , EXCHANGE PROGRAMME MODULE 5,6,
Exchange,XP1006 , EXCHANGE PROGRAMME MODULE 6,6,
Exchange,XP1007 , EXCHANGE PROGRAMME MODULE 7,6,
Exchange,XP1008 , EXCHANGE PROGRAMME MODULE 8,6,
Exchange,XP1009 , EXCHANGE PROGRAMME MODULE 1,9,
Exchange,XP1109 , EXCHANGE PROGRAMME MODULE 2,9,
Exchange,XP1207 , EXCHANGE PROGRAMME MODULE 7,15,
Exchange,XP1209 , EXCHANGE PROGRAMME MODULE 3,9,
Exchange,XP1309 , EXCHANGE PROGRAMME MODULE 4,9,
Exchange,XP1409 , EXCHANGE PROGRAMME MODULE 5,9,
Exchange,XP1509 , EXCHANGE PROGRAMME MODULE 6,9,
Exchange,XP1609 , EXCHANGE PROGRAMME MODULE 7,9,
Exchange,XP1709 , EXCHANGE PROGRAMME MODULE 8,9,
Exchange,XP1809 , EXCHANGE PROGRAMME MODULE 9,9,
Exchange,XP2101 , EXCHANGE PROGRAMME MODULE 1,3,
Exchange,XP2102 , EXCHANGE PROGRAMME MODULE 2,3,
Exchange,XP2107 , EXCHANGE PROGRAMME MODULE 7,18,
Exchange,XP2108 , EXCHANGE PROGRAMME MODULE 8,15,
Exchange,XP2201 , EXCHANGE PROGRAMME MODULE 1,3,
Exchange,XP2202 , EXCHANGE PROGRAMME MODULE 2,3,
Exchange,XP2203 , EXCHANGE PROGRAMME MODULE 3,3,
Exchange,XP2204 , EXCHANGE PROGRAMME MODULE 4,3,
Exchange,XP2205 , EXCHANGE PROGRAMME MODULE 5,3,
Exchange,XP2207 , EXCHANGE PROGRAMME MODULE 7,3,
Exchange,XP2208 , EXCHANGE PROGRAMME MODULE 8,18,
Exchange,XP6001 , EXCHANGE PROGRAMME MODULE 1,15,
Exchange,XP6002 , EXCHANGE PROGRAMME MODULE 3,15,
Exchange,XP6003 , EXCHANGE PROGRAMME MODULE 5,15,
Exchange,XP6004 , EXCHANGE PROGRAMME MODULE 6,15,
Exchange,XP6005 , EXCHANGE PROGRAMME MODULE 8,15,
Exchange,XP6006 , EXCHANGE PROGRAMME MODULE 10,15,
Exchange,XP6011 , EXCHANGE PROGRAMME MODULE 2,15,
Exchange,XP6012 , EXCHANGE PROGRAMME MODULE 4,15,
Exchange,XP6014 , EXCHANGE PROGRAMME MODULE 7,15,
Exchange,XP6015 , EXCHANGE PROGRAMME MODULE 9,15,
Exchange,XP8000 , EXCHANGE PROGRAMME IDENTIFIER,0,
Exchange,XP8001 , EXCHANGE PROGRAMME MODULE 1,6,
Exchange,XP8002 , EXCHANGE PROGRAMME MODULE 2,6,
Exchange,XP8003 , EXCHANGE PROGRAMME MODULE 3,6,
Exchange,XP8004 , EXCHANGE PROGRAMME MODULE 4,6,
Exchange,XP8005 , EXCHANGE PROGRAMME MODULE 5,6,
Exchange,XP8006 , EXCHANGE PROGRAMME MODULE 6,3,
Exchange,XP8007 , EXCHANGE PROGRAMME MODULE 7,3,
History,BA4001 , Test,6,
History,BR4011 , BROADENING FOR BETTER FUTURES: SCIENCE AND MEDICINE IN HISTORY AND SOCIETY,6,
History,GY4001 , INTRODUCTION TO HUMAN GEOGRAPHY,6,
History,GY4002 , INTRODUCTION TO PHYSICAL GEOGRAPHY,6,
History,GY4003 , LANDSCAPES AND ENVIRONMENT,6,
History,GY4004 , GEOGRAPHY RESEARCH PROJECT FOR ERASMUS,6,
History,GY4005 , NATURAL HAZARDS,6,
History,GY4006 , PRACTICING GEOGRAPHICAL RESEARCH,6,
History,GY4007 , GEOGRAPHY FINAL YEAR PROJECT 1,6,
History,GY4008 , GEOGRAPHY FINAL YEAR PROJECT 2,6,
History,GY4012 ," MIGRATION, MOBILITY AND PLACE",6,
History,GY4026 , THE LIVING EARTH,6,
History,GY4027 , LANDSCAPE EVOLUTION,6,
History,GY4028 , ENVIRONMENTAL ISSUES,6,
History,GY4033 , POPULATION DYNAMICS,6,
History,GY4036 , GEOGRAPHIES OF DEVELOPMENT,6,
History,GY4037 , A SUSTAINABLE WORLD?,6,
History,GY4038 , CULTURAL AND HISTORICAL GEOGRAPHY,6,
History,GY4051 , EARTH SCIENCE AND SOCIETY,6,
History,GY5021 , ENVIRONMENTAL GEOSPATIAL DATA ANALYSIS,6,
History,GY5022 , CLIMATE HAZARDS,6,
History,GY5031 , URBAN ECOSYSTEM SERVICES,6,
History,GY5032 , SUSTAINABILITY,6,
History,GY5103 , READING THE LANDSCAPE: SOURCES AND METHODS IN HIST,9,
History,HE5012 , EDUCATION POLICY ISSUES,6,
History,HI2001 , RESEARCH SKILLS IN WRITING AND ART HISTORY,6,
History,HI2002 , EUROPEAN ART AND ARCHITECTURE SINCE 1700,6,
History,HI2011 , ART AND DESIGN: ANCIENT/MEDIEVAL/EARLY MODERN WORLDS,6,
History,HI2012 , ART AND DESIGN IN MODERN EUROPE 1600,6,
History,HI2021 , INTRODUCTION TO ORAL HISTORY: THEORY AND PRACTICE,6,
History,HI2022 , ART AND ARCHITECTURE IN IRELAND DURING THE MODERN ERA,6,
History,HI2031 , RETRIEVING HER STORY:  WOMEN IN HISTORY,6,
History,HI2032 ," ORAL HERITAGE AND MEMORY, PRIVATE AND PUBLIC",6,
History,HI2041 , IRISH HISTORY: SOURCES AND METHODS,6,
History,HI2042 , RESEARCH SEMINAR MODULE,6,
History,HI2101 , HISTORY OF FAMILY I: THEORY AND PRACTICE,9,
History,HI2102 , HISTORY OF FAMILY II: MIGRATION AND COMMUNITIES,9,
History,HI2110 ," Introduction to Local History:  Approaches, Definitions and Presentations",6,
History,HI2111 , Introduction to Primary and Secondary Documentary Sources,6,
History,HI2120 , Non,6,
History,HI2121 , Research Seminar,6,
History,HI2131 , SOURCES AND METHODS FOR THE HISTORY OF FAMILY,6,
History,HI2132 , RESEARCH METHODS,6,
History,HI3001 , HISTORICAL AND GENEALOGICAL METHODS FOR GOVERNMENT EMPLOYEES,6,
History,HI3101 , WOMEN AND REVOLUTIONS : WRITERS AND ACTIVISTS,6,
History,HI4007 , HISTORIOGRAPHY,6,
History,HI4031 , EARLY MODERN EUROPE AND IRELAND,6,
History,HI4032 , CAPITALISM AND INDUSTRIAL SOCIETY 1450 ,6,
History,HI4041 , DIPLOMACY GOVERNMENT AND THE STATE 1550 ,6,
History,HI4042 , WOMEN IN HISTORY: 1789 ,6,
History,HI4043 , EUROPE: ENLIGHTENMENT AND REVOLUTION 1688 ,6,
History,HI4046 , CONTESTING THE PAST: WRITING HISTORY,6,
History,HI4051 , HPSS EXTENDED ASSIGNMENT 1,6,
History,HI4052 , HPSS EXTENDED ASSIGNMENT 2,6,
History,HI4053 , IRELAND: 1750 ,6,
History,HI4056 ," NEW HEAVEN, NEW EARTH, POWER AND BELIEF IN THE EUROPEAN REFORMATION, 1517",6,
History,HI4057 , IRISH TRAVELLERS: HISTORY AND CULTURE 1922 ,6,
History,HI4058 , IRISH HISTORY 1660 ,6,
History,HI4061 , REFORMATION AND THE MODERN STATE: EUROPE IN THE SIXTEENTH CENTURY,6,
History,HI4062 , COURT POLITICS AND CULTURE IN THE SPANISH MONARCHY; 1561 ,6,
History,HI4063 ," NASTY, BRUTISH AND SHORT? EARLY MODERN EUROPE, C. 1450",6,
History,HI4066 ," ABSOLUTES AND REVOLUTIONARIES: EUROPE IN THE AGE OF ENLIGHTENMENT, 1688",6,
History,HI4068 ," IRELAND AND THE WIDER WORLD, 1919",6,
History,HI4071 ," DOING HISTORY: PAST, PRESENT AND PRACTICE",6,
History,HI4072 , EUROPE: IMPERIALISM AND DECOLONISATION,6,
History,HI4073 ," FROM THE PROPHET TO ISIS: THE MIDDLE EAST AND EUROPE, ANCIENT TO MODERN",6,
History,HI4076 ," PATRIOTS TO PARNELL: IRELAND, 1750",6,
History,HI4077 , METROPOLIS THE GERMAN URBAN EXPERIENCE 1900,6,
History,HI4081 , EARLY MODERN IRELAND,6,
History,HI4082 , EUROPE: SOCIETY AND GOVERNANCE; 1890 ,6,
History,HI4083 ," MAKING IRELAND BRITISH?: EARLY MODERN IRELAND, 1536",6,
History,HI4087 , WARFARE 1618 ,6,
History,HI4091 , THE STRUCTURES AND INSTITUTIONS OF MEDIEVAL SOCIETY,6,
History,HI4092 , TOOLS AND METHODS IN HISTORICAL RESEARCH,6,
History,HI4093 , THE EMERGENCE OF MODERN IRELAND 1534,6,
History,HI4094 ," LOCAL HISTORY: PLACE,  SPACE AND PEOPLE",6,
History,HI4095 , SOCIAL AND ECONOMIC CHANGE IN IRELAND 1780,6,
History,HI4096 , EUROPE:DICTATORSHIP AND DEMOCRACY 1914,6,
History,HI4097 , HISTORY OF MODERN AUSTRALIA 1788,6,
History,HI4098 , WOMEN AND HISTORY,6,
History,HI4102 ," IRELAND: REVOLUTION AND INDEPENDENCE, 1898 ",6,
History,HI4103 , IMAGINING IRELAND: FROM EARLY MODERN TO MODERN,6,
History,HI4107 ," CONSERVATIVES, PATRIOTS AND RADICALS: POLITICS AND POLITICAL IDEOLOGY IN 18TH CENTURY BRITAIN AND IRELAND",6,
History,HI4112 , SOURCES FOR HISTORY,6,
History,HI4117 ," THE IRISH CONFLICT, 1948 ",6,
History,HI4122 , INTRODUCTION TO THE HISTORY OF THE FAMILY,6,
History,HI4127 , UNDERSTANDING THE HOLOCAUST IN 20TH CENTURY EUROPE,6,
History,HI4132 , WARFARE AND DIPLOMACY: EUROPE IN THE SEVENTEENTH CENTURY,6,
History,HI4137 , THE HISTORY OF POLITICAL THOUGHT OF HUMAN RIGHTS,6,
History,HI4142 ," GAMES OF THRONES: GENDER, POWER AND IDENTITY, IRELAND AND THE WIDER WORLD, 1500",6,
History,HI4147 ," IRELAND AND THE USA, 1790 ",6,
History,HI4148 , THE HISTORY OF AUSTRALIA,6,
History,HI4152 ," FROM KINGDOM TO REPUBLIC: IRISH HISTORY, 1660",6,
History,HI4157 ," FRUGAL COMFORT: HOUSING POLICY AND PROCESSES, IRELAND 1883 ",6,
History,HI4158 , CULTURE AND ANARCHY: IRELAND IN THE TWENTIETH CENTURY,6,
History,HI4168 ," THE COUNTRY HOUSE IN IRELAND; CLASS, GENDER AND CULTURE",6,
History,HI4187 ," HEALTH, STATE AND IRISH MEDICAL CARE, 1837 ",6,
History,HI4192 , SOURCES FOR HISTORY,6,
History,HI4193 , EARLY MODERN EUROPE AND IRELAND,6,
History,HI4194 ," EUROPE: ENLIGHTENMENT AND REVOLUTION, 1688 ",6,
History,HI4195 , IRELAND 1750 ,6,
History,HI4196 ," EUROPE: SOCIETY AND GOVERNANCE, 1890 ",6,
History,HI4197 ," IRISH TRAVELLERS: HISTORY AND CULTURE, 1922 ",6,
History,HI4207 ," THE FIRST GLOBAL EMPIRE: THE SPANISH MONARCH, EUROPE AND AMERICA 1479 ",6,
History,HI4217 ," THE EARLY MODERN CITY, 1450 ",6,
History,HI4227 ," GOLDEN AGE: POLITICS, CULTURE AND WARFARE IN THE SPANISH MONARCHY, 1598 ",6,
History,HI4237 , THE MODERN MIDDLE EAST AND THE ARAB,6,
History,HI4247 ," EMPIRES, NATIONS AND UNION: EUROPE, 1848 ",6,
History,HI4257 , HISTORY FINAL YEAR PROJECT 1,6,
History,HI4258 , HISTORY FINAL YEAR PROJECT 2,6,
History,HI4267 , ADVANCED HISTORY SPECIALISM,6,
History,HI4277 ," ART, NATION, AND EMPIRE: 1750",6,
History,HI4287 , THE END OF THE COLD WAR,6,
History,HI4297 ," IRELAND REVOLUTION AND INDEPENDENCE, 1899 ",6,
History,HI4307 ," HEALTH, GENDER, STATE AND IRISH MEDICAL CARE, 1837 ",6,
History,HI4317 , HISTORIES OF EMOTIONS AND THE SENSES,6,
History,HI5011 , HISTORY OF THE EUROPEAN IDEA,9,
History,HI5012 , INTERNATIONAL HISTORY OF THE 20TH CENTURY,9,
History,HI5021 ," THE HISTORY OF WOMEN, MEDIEVAL TO MODERN: SOURCES, METHODS AND APPROACHES.",9,
History,HI5101 , SOURCES AND METHODS OF HISTORY AND LOCAL STUDIES,9,
History,HI5102 , SOURCES AND CASES IN MODERN IRISH HISTORY,9,
History,HI5111 , COMPUTING AND DATABASES IN HISTORY RESEARCH,9,
History,HI5112 , LOCAL STUDIES,9,
History,HI5221 , DISSERTATION,15,
History,HI5222 , DISSERTATION,15,
History,HI5231 ," PEOPLE, TIME AND SPACE: LOCAL HISTORY RESEARCH SEMINAR 1",3,
History,HI5232 ," PEOPLE, TIME AND SPACE: LOCAL HISTORY RESEARCH SEMINAR 2",3,
History,HI6001 , CONCEPTS,9,
History,HI6002 , HISTORY RESEARCH SEMINAR,9,
History,HI6003 , DISSERTATION 2,30,
History,HI6011 , RESEARCH METHODS AND SOURCES;HISTORY OF ART AND ARCHITECTURE,9,
History,HI6012 , DISSERTATION 1,9,
History,HI6013 , DISSERTATION,15,
History,HI6014 , DISSERTATION,15,
History,HI6015 , DISSERTATION,6,
History,HI6023 , DISSERTATION 2,30,
History,HI6033 , DISSERTATION,30,
History,HI6041 , INTRODUCTION TO THE HISTORY OF THE FAMILY,9,
History,HI6043 , DISSERTATION,30,
History,HI6051 , SOURCES AND TECHNIQUES IN THE HISTORY OF THE FAMILY,9,
History,HI6052 ," IRISH TRAVELLERS: NOMADS IN A SEDENTARY SOCIETY, 1850",9,
History,HI6061 , LINKING FAMILIES TO COMMUNITIES,9,
History,HI6062 , PEOPLE ON THE MOVE: STUDYING MIGRATION,9,
History,HI6071 , ART AND CULTURES OF DISPLAY,9,
History,HI6072 , RESEARCH SEMINAR IN THE HISTORY OF THE FAMILY,9,
History,HI6081 ," ART, DEVOTION AND SOCIETY IN RENAISSANCE ITALY",9,
History,HI6082 , DISSERTATION 1,9,
History,HI6091 , RESEARCH METHODOLOGY,3,
History,HI6092 , ARCHITECTURE AND BUILDING; IRELAND 1690 ,9,
History,HI6101 , MA HISTORY RESEARCH METHODOLOGY,3,
History,HI6102 , ARCHIVING NON,9,
History,HI6111 , MA HISTORY RESEARCH METHODOLOGY,3,
History,HI6112 ," ""THE LOOK OF THE PAST"": ART AND VISUAL CULTURE IN MODERN IRELAND",9,
History,HI6121 , ART AND POWER IN THE AGE OF THE TUDORS AND STUARTS,9,
History,HI6122 , DISSERTATION WRITING IN HISTORY OF FAMILY,3,
History,HI6131 , CONCEPTS AND METHODS,9,
History,HI6132 , HISTORY OF ART AND ARCHITECTURE DISSERTATION WRITING,3,
History,HI6141 , AMERICA IN THE TWENTIETH CENTURY: 1918,9,
History,HI6142 , MA HISTORY DISSERTATION WRITING,3,
History,HI6151 ," THE EUROPEAN NOBILITY, 1500",9,
History,HI6152 , MEMORY AND BELONGING: ORAL HISTORY METHODOLOGY AND RATIONALE,9,
History,HI6161 ," SEX, FAMILY AND GENDER IN EIGHTEENTH CENTURY IRELAND AND BRITAIN",9,
History,HI6162 ," UNIVERSITY AND SOCIETY, 1500",9,
History,HI6171 , DIGITAL PUBLIC HISTORY: CULTURE AND COMMUNICATION,9,
History,HI6172 ," AMERICA AND THE WIDER WORLD, 1823",9,
History,HI6181 , WRITING SKILLS METHODOLOGY 1,3,
History,HI6182 , WRITING SKILLS METHODOLOGY 2,3,
History,HI6191 , GRADUATE SEMINAR IN IRISH CULTURAL HISTORY,9,
History,HI6192 , IRISH DIASPORA: A SOCIAL AND CULTURAL HISTORY,9,
History,HI6201 , INTRODUCTION TO PUBLIC HISTORY: THEORY AND PRACTICE,9,
History,HI6202 , INTRODUCTION TO CULTURAL HERITAGE STUDIES,9,
History,HI6211 , HISTORICAL RESEARCH IN PRACTICE 1,3,
History,HI6212 , THE EVOLUTION OF THE IRISH TOWN 1609,9,
History,HI6221 , UNIVERSITY AND SOCIETY IN MEDIEVAL AND EARLY MODERN EUROPE,9,
History,HI6222 , DIRECTED READING IN HISTORY,9,
History,HI6231 , HISTORY OF ART AND ARCHITECTURE SURVEY MODULE,9,
History,HI6301 , INTRODUCTION TO THE HISTORY OF THE FAMILY,9,
History,HI6302 ," THE 'LONG WAR' IN IRELAND, 1968",9,
History,HI6312 , HISTORICAL RESEARCH IN PRACTICE 2,3,
History,HI6321 , MA HISTORY RESEARCH METHODOLOGY,3,
History,HI6322 , HISTORY RESEARCH SEMINAR,9,
History,HI6332 , DISSERTATION WRITING IN HISTORY OF FAMILY ,3,
History,HI6341 , DISSERTATION 2 ,30,
History,HI6342 , DISSERTATION 1 ,9,
History,HI6351 , LINKING FAMILIES TO COMMUNITIES,9,
History,HI6352 , PEOPLE ON THE MOVE: STUDYING MIGRATION,9,
History,HI6792 , PUBLIC HISTORY INTERNSHIP,9,
History,HI6793 , THE GLOBAL COLD WAR,9,
History,HI6794 , EXPLORING LEGACIES OF CONFLICT,9,
History,HI6795 , DISSERTATION,30,
History,HP4187 , FINAL YEAR PROJECT 1,6,
History,HP4406 , PROJECT 1 (HPSS),6,
History,HU5000 , IRISH LIFE AND LITERATURE,6,
History,HU5002 , Visual Culture in Ireland and its European Context 1400,6,
History,HU5043 , MODERN IRISH THEATRE,6,
History,HU8004 , INDIVIDUAL RESEARCH MODULE 4 (FOR STRUCTURED PHD),45,
History,HU8005 , INDIVIDUAL RESEARCH MODULE 5 (FOR STRUCTURED PHD),45,
History,HU8006 , INDIVIDUAL RESEARCH MODULE 6 (FOR STRUCTURED PHD),45,
History,HU8007 , INDIVIDUAL RESEARCH MODULE 7 (FOR STRUCTURED PHD),45,
History,HU8008 , INDIVIDUAL RESEARCH MODULE 8 (FOR STRUCTURED PHD),45,
History,HU8011 , INDIVIDUAL RESEARCH MODULE 1 (FOR STRUCTURED PHD),20,
History,HU8012 , DIGITAL HUMANITIES,9,
History,HU8013 , SUMMER PLACEMENT,9,
History,HU8022 , RESEARCH METHODS IN HISTORICAL AND CULTURAL STUDIES,9,
History,HU8023 , INDIVIDUAL RESEARCH MODULE 3 (FOR STRUCTURED PHD),45,
History,HU8032 , INDIVIDUAL RESEARCH MODULE 2 (FOR STRUCTURED PHD),25,
Interfaculty,CB5001 , MULTI AGENCY PROCEEDS OF CRIME INVESTIGATION,9,
Interfaculty,CB5002 , PROCEEDS OF CRIME INVESTIGATION ,9,
Interfaculty,CB5011 , DARKNET & OPEN SOURCE INTELLIGENCE INVESTIGATION (OSINT),9,
Interfaculty,CB5012 , PROCEEDS OF CRIME INVESTIGATION ,15,
Interfaculty,CB5031 ," NATIONAL AND INTERNATIONAL BEST PRACTICE IN PROCEEDS OF CRIME INVESTIGATION: LAW, PROCEDURE, POLICY AND PRACTICE",9,
Interfaculty,MT5000 , MASTERS TAUGHT QUALIFIER,6,
Interfaculty,RL6001 , REFLECTIVE LEARNING PORTFOLIO (MASTER OF PROFESSIONAL PRACTICE),3,
Interfaculty,RL6002 , REFLECTIVE LEARNING PORTFOLIO (MASTER OF PROFESSIONAL PRACTICE),3,
Interfaculty,TL5082 , PROBLEM,3,
Interfaculty,TL5092 , RESEARCH LED TEACHING,3,
Interfaculty,TL8003 , PLANNING RESEARCH AND PUBLICATION,3,
Interfaculty,TL8013 , DEVELOPING IDEAS AND ARGUEMENTS: WRITING INTO ACADEMIC COMMUNITIES,3,
Interfaculty,UD8001 , UCD INTER INSTITUTIONAL MODULE 1,6,
Interfaculty,UD8002 , UCD INTER INSTITUTIONAL MODULE 2,6,
Interfaculty,UD8003 , UCD INTER INSTITUTIONAL MODULE 3,6,
Interfaculty,UD8004 , UCD INTER INSTITUTIONAL MODULE 4,6,
Irish World Academy Of Music and Dance (IWAMD),BR4061 ," BROADENING THROUGH AWARENESS, ACTIVISM AND THE ARTS (UNDERGRADUATE)",6,
Irish World Academy Of Music and Dance (IWAMD),BR4101 , BROADENING THROUGH PLACEMAKING,6,
Irish World Academy Of Music and Dance (IWAMD),BR5001 ," BROADENING THROUGH AWARENESS, ACTIVISM AND THE ARTS (POSTGRADUATE)",3,
Irish World Academy Of Music and Dance (IWAMD),BR5002 , BROADENING: INTRODUCTION TO PLACEMAKING (POSTGRADUATE),3,
Irish World Academy Of Music and Dance (IWAMD),DA5001 , ETHNOCHOREOLOGY: HISTORY AND THEORY,12,
Irish World Academy Of Music and Dance (IWAMD),DA5002 , METHODS IN ETHNOCHOREOLOGY,12,
Irish World Academy Of Music and Dance (IWAMD),DA5022 , WORLD DANCE SURVEY,12,
Irish World Academy Of Music and Dance (IWAMD),DA5031 , HISTORY OF IRISH TRADITIONAL DANCE,12,
