,,
Module Code , Title,Credits
DT4777 , Directing for Theatre,6
EA6711 , MAKING MEANING: KNOWLEDGE AND KNOWING THE ARTS AND EDUCATION,9
EA6712 , POLICY AND ADVOCACY IN THE ARTS AND EDUCATION ,9
EA6713 , CURRENT PRACTICE AND THEORIES OF TEACHING AND LEARNING IN THE ARTS AND EDUCATION,12
EA6714 , DISSERTATION 1,15
EA6715 , DISSERTATION 2,15
EA6721 , PRINCIPLES AND PRACTICE OF RESEARCH IN THE ARTS AND EDUCATION,9
EA6722 , AESTHETIC EDUCATION IN THE ARTS,9
EA6731 , PRACTICE,6
EA6732 , PRACTICE,6
EB4003 , DOING BUSINESS IN EUROPE,6
EC2001 , INTRODUCTION TO ECONOMICS,6
EC2011 , UNDERSTANDING THE GENERAL ENVIRONMENT,6
EC2021 , INTRODUCTION TO ECONOMICS,6
EC2911 , MICRO,6
EC2912 , MACRO,6
EC3001 , IRISH ECONOMIC ENVIRONMENT,6
EC3003 , IRISH ECONOMIC ENVIRONMENT,6
EC3202 , ECONOMICS AND HEALTH ECONOMICS,6
EC3601 , IRISH ECONOMIC ENVIRONMENT,6
EC4002 , History of Economic Thought,6
EC4003 , Intermediate Microeconomics,6
EC4004 , ECONOMICS FOR BUSINESS,6
EC4006 , Intermediate Macroeconomics,6
EC4013 , MICROECONOMICS,9
EC4014 , INTERNATIONAL ECONOMICS,6
EC4015 , Final Year Project Economics and Mathematics A,6
EC4016 , Public Finance,9
EC4017 , Health Sector Economics,9
EC4018 , MONETARY ECONOMICS,6
EC4023 , QUANTITATIVE METHODS FOR ECONOMICS,6
EC4024 , FINANCIAL ECONOMICS,6
EC4025 , Intermediate Economics,9
EC4027 , THE EUROPEAN ECONOMY,6
EC4034 , MACROECONOMICS,9
EC4035 , ECONOMICS OF INTEGRATION,6
EC4037 , ECONOMICS FINAL YEAR PROJECT 1,6
EC4038 , ECONOMICS FINAL YEAR PROJECT 2,6
EC4044 , APPLIED ECONOMIC ANALYSIS,6
EC4045 , ECONOMICS OF NATURAL RESOURCES,6
EC4055 , ENVIRONMENTAL ECONOMICS,6
EC4101 , MICROECONOMICS,6
EC4102 , MACROECONOMICS,6
EC4108 , CONTEMPORARY ISSUES IN THE GLOBAL ECONOMY,6
EC4111 , MICROECONOMICS (NON BUSINESS),6
EC4112 , MACROECONOMICS (FOR NON,6
EC4213 , INTERMEDIATE ECONOMICS (FOR NON,6
EC4307 , ECONOMETRICS,6
EC4333 , ECONOMICS OF EUROPEAN INTEGRATION,6
EC4407 , IRELAND IN THE WORLD ECONOMY,6
EC4408 , PUBLIC FINANCE,6
EC4417 , INDUSTRIAL ECONOMICS,6
EC4418 , MONETARY ECONOMICS AND INTERNATIONAL FINANCE,6
EC4427 , MANAGERIAL ECONOMICS,6
EC4437 , INTERNATIONAL POLITICAL ECONOMY,6
EC4711 , EU ECONOMIC ENVIRONMENT,6
EC4902 , MACROECONOMICS,6
EC4904 , PRINCIPLES OF ECONOMICS,6
EC4906 , INTERNATIONAL ECONOMICS,6
EC4908 , ISSUES IN THE GLOBAL ECONOMICS ENVIRONMENT,9
EC4911 , MICROECONOMICS,6
EC4913 , ECONOMICS FOR BUSINESS,6
EC5001 , INDUCTION ACADEMY,3
EC5002 , APPLIED ECONOMICS AND PUBLIC POLICY ISSUES,9
EC5003 , DECISION MAKING WITH SCARCE RESOURCES,9
EC5004 , THE GLOBAL ECONOMY,9
EC5005 , THE NATIONAL ECONOMY,9
EC5006 , CONTEMPORARY ISSUES IN ECONOMICS AND POLICY,9
EC5007 , DATA EXPLORATION & ANALYSIS,9
EC5008 , RESIDENTIAL ACADEMY,3
EC5112 , ECONOMIC APPRAISAL AND EVALUATION TECHNIQUES,6
EC5131 , ECONOMICS OF TOURISM,6
EC6001 , INTERNATIONAL POLITICAL ECONOMY,6
EC6002 , SMALL BUSINESS ECONOMICS,6
EC6003 , ECONOMICS DISSERTATION 1,12
EC6011 , MICROECONOMIC THEORY,6
EC6012 , International Monetary Economics,6
EC6013 , ECONOMICS DISSERTATION 2,15
EC6021 , MACROECONOMIC THEORY,6
EC6022 , GLOBALISATION AND INTERNATIONAL ECONOMIC ISSUES,6
EC6023 , INTERNATIONAL BUSINESS WORKSHOP,3
EC6031 , EVOLUTION OF ECONOMIC THEORY,6
EC6032 , BUSINESS ECONOMICS,6
EC6033 , ECONOMICS DISSERTATION 2A,12
EC6041 , DATA MANAGEMENT FOR POLICY ANALYSIS AND EVALUATION,6
EC6042 , AIRLINE ECONOMICS,6
EC6051 , MACROECONOMICS AND THE GLOBAL ECONOMY,6
EC6052 , INTERNATIONAL ECONOMIC ISSUES,6
EC6061 , APPLIED DATA ANALYSIS FOR ECONOMICS,6
EC6062 , APPLIED ECONOMETRICS FOR BUSINESS,6
EC6071 , PRELIMINARY MATHEMATICS AND STATISTICS FOR ECONOMICS,3
EC6072 , THE ECONOMICS OF GLOBAL CHALLENGES,3
EC6081 , HEALTH ECONOMICS,6
EC6082 , RESEARCH DESIGN AND POLICY EVALUATION TOOLS,6
EC6091 , MACROECONOMICS FOR POLICY,6
EC6101 , INTERNATIONAL POLITICAL ECONOMY 1,6
EC6111 , ISSUES IN INTERNATIONAL POLITICAL ECONOMY,6
EC6112 , ECONOMETRICS,6
EC6121 , ECONOMICS FOR BUSINESS,6
EC6122 , PUBLIC FINANCE AND REGULATION,6
EC6131 , MICROECONOMICS FOR POLICY,6
EC6132 ," INDUSTRIAL POLICY: THEORY, PRACTICE AND EVALUATION",6
EC6142 , LABOUR AND EDUCATION ECONOMICS,6
EC6152 , DISSERTATION PREPARATION,6
EC6204 , BUSINESS ECONOMICS,6
EC6701 , THEORY OF ECONOMIC INTEGRATION,9
EC6702 , ECONOMIC POLICIES OF THE EUROPEAN UNION,9
EC6713 , DISSERTATION,30
ED5001 , INTRODUCTION TO DIGITAL APPLICATIONS,6
ED5002 , REAL,6
ED5005 , PROJECT AND DISSERTATION ,30
ED5011 , DIGITAL ELECTRONICS 1,6
ED5012 , COMPUTER NETWORKS 2,6
ED5031 , SOFTWARE ENGINEERING,6
ED5041 , COMPUTER NETWORKS 1,6
ED5042 , MOBILE APP DEVELOPMENT,6
ED5051 , MIDDLEWARE INTEGRATION SOFTWARE DEVELOPMENT 1,6
ED5052 , MOBILE AND SECURE CLOUD COMPUTING PROJECT,12
ED5061 , MIDDLEWARE INTEGRATION SOFTWARE DEVELOPMENT 2,6
ED5062 , INDUSTRY LEARNING PROJECT 2,6
ED5071 , COMPUTER ENGINEERING FUNDAMENTALS,6
ED5072 , ADVANCED TOPIC SEMINARS AND PROJECT IDENTIFICATION,6
ED5073 , RESEARCH METHODS AND PROJECT SPECIFICATION,6
ED5081 , INTRODUCTION TO WEB AND DATABASE TECHNOLOGY,6
ED5082 , OPERATING SYSTEMS FOR COMPUTER ENGINEERS,6
ED5092 , PROJECT (MOBILE AND SECURE CLOUD COMPUTING),6
ED5102 , DIGITAL PUBLISHING TO THE WEB,6
ED5111 , DIGITAL MEDIA AND LEARNING,6
ED5112 , PEDAGOGICAL IMPLICATION OF DIGITAL MEDIA,6
ED5113 , DIGITAL VIDEO PRODUCTION,6
ED5121 , PROJECT 1,6
ED5122 , PROJECT 2,6
ED5123 , PROJECT 3,6
ED5132 , PROJECT IDENTIFICATION AND SPECIFICATION,6
ED5502 , DIGITAL SYSTEMS 4,6
ED6001 , PROJECT 1 (COMPUTER ENGINEERING),18
ED6002 , PROJECT 2 (COMPUTER ENGINEERING),18
EE2001 , COMPUTER SOFTWARE (BLENDED),6
EE2002 , DIGITAL CONTROL (BLENDED DELIVERY),6
EE2003 , PROJECT ,6
EE2011 , MOBILE APP DEVELOPMENT (BLENDED),6
EE2012 , SOFTWARE ENGINEERING (BLENDED),6
EE2021 , DATA SECURITY (BLENDED,6
EE4001 , ELECTRICAL ENGINEERING 1,6
EE4003 , THE ENGINEER AS A PROFESSIONAL,6
EE4005 , ELECTRICAL POWER SYSTEMS,6
EE4008 , AVIONICS,6
EE4011 , ENGINEERING COMPUTING,6
EE4012 , CIRCUIT ANALYSIS 1,6
EE4014 , ELECTRICAL ENERGY,6
EE4015 , ELECTRICAL POWER SYSTEMS,6
EE4021 , GENERAL ENGINEERING,3
EE4022 , SEMICONDUCTOR DEVICE FUNDAMENTALS,6
EE4023 , DISTRIBUTED SYSTEMS,6
EE4024 , ELECTRICAL ENERGY (ELECTRICAL MACHINES),6
EE4027 , TELECOMMUNICATION NETWORK ARCHITECTURES 1,6
EE4028 , TELECOMMUNICATION NETWORK ARCHITECTURES 2,6
EE4031 , MODERN ELECTRICAL POWER SYSTEMS,6
EE4032 , TENSOR AND GPU FUNDAMENTALS,6
EE4034 , TELECOMMUNICATIONS FUNDAMENTALS,6
EE4038 , POWER ELECTRONICS,6
EE4041 , ELECTRIFICATION OF TRANSPORT,6
EE4042 , ENERGY DEMAND MANAGEMENT,6
EE4044 , COMMUNICATIONS AND NETWORKS PROTOCOLS,6
EE4047 , ELECTRICAL ENGINEERING PROJECT 1,6
EE4048 , ELECTRICAL ENGINEERING PROJECT 2,6
EE4052 , MASTER OF ENGINEERING PROJECT PREPARATION,6
EE4102 , ELECTRICAL SCIENCE 2,6
EE4115 , SYSTEMS ANALYSIS,6
EE4117 , ELECTROMAGNETICS 1,6
EE4207 , INDUSTRIAL AUTOMATION,6
EE4214 , CONTROL 1,6
EE4216 , CONTROL 2,6
EE4218 , CONTROL 2,6
EE4313 , ACTIVE CIRCUIT DESIGN 1,6
EE4314 , ACTIVE CIRCUIT DESIGN 2,6
EE4316 , ACTIVE CIRCUIT DESIGN 3,6
EE4317 , ACTIVE CIRCUITS 4,6
EE4328 , POWER ELECTRONICS,6
EE4407 , ASICS 1,6
EE4408 , ASICS 2,6
EE4522 , DIGITAL SYSTEMS 1,6
EE4523 , DIGITAL SYSTEMS 2,6
EE4524 , DIGITAL SYSTEMS 3,6
EE4617 , COMMUNICATION THEORY 1,6
EE4816 , SIGNALS AND SYSTEMS 1,6
EE4901 , ELECTRICAL ENGINEERING (DISTANCE LEARNING),6
EE4902 , SOLID STATE DEVICES (DISTANCE LEARNING),6
EE4903 , MODELLING AND CONTROL OF DYNAMIC SYSTEMS (DISTANCE LEARNING),6
EE4904 , VACUUM AND PLASMA SCIENCE (DISTANCE LEARNING),6
EE4907 , ELECTRONIC ENGINEERING PROJECT 1,6
EE4908 , ELECTRONIC ENGINEERING PROJECT 2,6
EE5011 , MODERN ROBOTICS,6
EE5012 , OPERATING SYSTEMS,6
EE5042 ," ROBOTIC PLANNING, MAPPING & MANIPULATION",6
EE5052 , ROBOTIC SENSING & PERCEPTION,6
EE6001 , MASTER OF ENGINEERING PROJECT 1,15
EE6002 , MASTER OF ENGINEERING PROJECT 2,15
EE6003 , CONVERGED NETWORKS,6
EE6004 , REAL,6
EE6005 , SIGNAL PROCESSING FOR COMMUNICATIONS,6
EE6006 , EDGE COMPUTING AND INTERNET OF THINGS,6
EE6008 , DEEP LEARNING AT THE EDGE,6
EE6010 , MASTER OF ENGINEERING PROJECT 1 ,6
EE6011 , CRYPTOGRAPHY AND SECURITY FUNDAMENTALS,6
EE6012 , DATA FORENSICS,6
EE6021 , TEST DEVELOPMENT ENGINEERING,6
EE6022 , BIOMETRICS,6
EE6031 , MULTIMEDIA COMMUNICATIONS,6
EE6032 , COMMUNICATION AND SECURITY PROTOCOLS,6
EE6041 , TEXT ANALYTICS AND NATURAL LANGUAGE PROCESSING,6
EE6042 , NETWORK AND HOST SECURITY,6
EE6051 , MICROWAVE AND PHOTONICS ENGINEERING,6
EE6052 , WEB,6
EE6061 , INTEGRATED MASTER OF ENGINEERING PROJECT 1,12
EE6062 , INTEGRATED MASTER OF ENGINEERING PROJECT 2,12
EE6071 , ANALOG / MIXED SIGNAL TEST AND MEASUREMENT,9
EE6072 , MASTER OF ENGINEERING PROJECT 1 – PROJECT IDENTIFICATION,6
EE6073 , MASTER OF ENGINEERING PROJECT 2 – PROJECT DESIGN & IMPLEMENTATION,30
EE6091 , PROJECT 1,5
EE6092 , PROJECT 2,5
EE6093 , PROJECT 3,20
EE6102 , ELECTRICAL MACHINES,6
EE6202 , SMART DEMAND SIDE MANAGEMENT,6
EE6211 , INTRODUCTION TO EMERGING TECHNOLOGIES,6
EE6401 , MASTER OF ENGINEERING PROJECT 1,15
EE6402 , MASTER OF ENGINEERING PROJECT 2,15
EE6411 , C++ PROGRAMMING,6
EE6421 , SOFTWARE ENGINEERING,6
EE6422 , REAL,6
EE6451 , DIGITAL SIGNAL PROCESSING,6
EE6452 , DIGITAL CONTROL,6
EE6461 , INFORMATION THEORY AND CODING,6
EE6462 , DIGITAL COMMUNICATIONS,6
EE6471 , ADVANCED DIGITAL SYSTEM DESIGN,6
EE6481 , MASTER OF ENGINEERING PROJECT 1,15
EE6621 , ASICS 1 (DIGITAL ASICS),6
EE6622 , ASICS 2 (ANALOGUE ASICS),6
EE6631 , TEST ENGINEERING 1 (PRODUCTION TEST SYSTEMS),6
EE6632 , TEST ENGINEERING 2 (DEVICE AND CIRCUIT LEVEL TEST),6
EE6641 , SEMICONDUCTOR TECHNOLOGY,6
EE6642 , NOISE,6
EE6911 , ELECTRIC VEHICLES AND SUSTAINABLE TRANSPORTATION,6
EE6921 , MODERN GRIDS AND TRANSMISSION OF POWER,6
EF4721 , ENGLISH AS A FOREIGN LANGUAGE 1,6
EF4722 , ENGLISH AS A FOREIGN LANGUAGE 2,6
EF6001 , ENGLISH AS A FOREIGN LANGUAGE 1,9
EF6002 , ENGLISH AS A FOREIGN LANGUAGE 2,9
EF8002 , ENGLISH AS A MEDIUM OF INSTRUCTION 1: PROFESSIONAL SPOKEN DISCOURSES,6
EF8012 , ENGLISH AS A MEDIUM OF INSTRUCTION 2: WRITTEN DISCOURSES FOR ACADEMICS,6
EG5704 , Gaeilge Ghairmiúil  2,1
EG5714 ," Teaching Studies 9 – Pedagogy of Music, Visual Arts, and Physical Education",6
EG5724 , Teaching Studies 10 – Early Primary Education,6
EG5734 , Gaeilge Ghairmiúil  3,2
EG5751 , Teaching Studies 1 ,6
EG5752 ," Foundation Studies 2 – Developmental Psychology, Sociology of Education, and Educational Psychology",6
EG5761 ," Teaching Studies 2 – Introduction to English Writing, Educational Methodology, Information Technology, Religious Ed and",6
EG5762 ," Foundation Studies 3 – Philosophy of Education, History of Education, and Education Issues",6
EG5771 ," Teaching Studies 3 – Introduction to Music, Visual Art and Physical Education",6
EG5772 ," Teaching Studies 4 – SESE, SPHE, Special Education, and  Pedagogy Issues",6
EG5773 ," Foundation Studies 4 – Philosophy of Education, Developmental Psychology, Educational Psychology, and Sociology of Educa",6
EG5781 ," Foundation Studies 1 – Philosophy of Ed, Developmental Psychology, Ed. Psychology and Sociology of Education",6
EG5782 ," Teaching Studies 5 – Music, Physical Education, Religious Education, and Visual Arts Education",6
EG5783 ," Teaching Studies 7 – Pedagogy of Mathematics, SESE, and Religious Education; Education Issues",6
EG5791 , Gaeilge Ghairmiúil 1,2
EG5792 ," Teaching Studies 6 – Gaeilge, Drama, English Reading, and Mathematics Education",6
EG5793 ," Teaching Studies 8 – Pedagogy of Gaeilge, Drama, and English Reading",6
EH2001 , ENGLISH LANGUAGE FOR STUDY PURPOSES 1,6
EH2002 , ENGLISH LANGUAGE FOR STUDY PURPOSES 2,6
EH2011 , WRITNG SKILLS FOR ACADEMIC STUDY,3
EH2012 , APPLIED COMMUNICATION SKILLS,3
EH2021 , STUDY STRATEGIES AND TECHNIQUES 1,3
EH2022 , STUDY STRATEGIES AND TECHNIQUES 2,3
EH2031 , BUSINESS COMMUNICATION 1,6
EH2032 , BUSINESS COMMUNICATION 2,6
EH2110 , ENGLISH FOR ACADEMIC PURPOSES 1,6
EH2120 , ENGLISH FOR ACADEMIC PURPOSES 2,6
EH3002 , ACADEMIC ENGLISH 2,6
EH3012 , STUDY STRATEGIES 2,3
EH3022 , APPLIED ACADEMIC WRITING AND SPEAKING SKILLS,3
EH4001 , CRITICAL PRACTICE 1: ACADEMIC READING AND WRITING,6
EH4002 , CRITICAL PRACTICE 2 ,6
EH4003 , INTRODUCTION TO LITERARY THEORY,6
EH4006 , VICTORIAN TEXTS AND CONTEXTS,6
EH4007 , LITERARY MODERNISM,6
EH4008 , BRITISH LITERATURE SINCE 1945,6
EH4011 , EARLY MODERN LITERATURE,6
EH4012 , RESTORATION AND AUGUSTAN LITERATURE,6
EH4013 , SENSIBILITY AND ROMANTICISM,6
EH4016 , STATE OF THE UNION: AMERICAN LITERATURE SINCE 1890,6
EH4017 , CONTEMPORARY AFRICAN LITERATURE IN ENGLISH,6
EH4018 , CONTEMPORARY IRISH LITERATURE,6
EH4022 , ENGLISH LITERATURE 2: EARLY MODERN POETRY AND PLAYS,6
EH4023 , THE NEW WORLD: AMERICAN LITERATURE TO 1890,6
EH4026 , COLONIAL/POSTCOLONIAL LITERATURE IN ENGLISH,6
EH4027 , CONTEMPORARY WOMEN'S WRITING,6
EH4028 , STUDY OF A MAJOR IRISH AUTHOR,6
EH4033 , AFTER THE REVIVAL: STUDIES IN MODERN IRISH POETRY,6
EH4036 , IRISH LITERATURE 1930 ,6
EH4037 , INTRODUCTION TO CREATIVE WRITING,6
EH4038 , STUDY OF A MAJOR AUTHOR,6
EH4043 , IRISH LITERARY REVOLUTIONS 1880 ,6
EH4046 , OLD AND MIDDLE ENGLISH LITERATURE: TEXTS AND CONTEXTS,6
EH4047 , ENGLISH FINAL YEAR PROJECT 1,6
EH4048 , ENGLISH FINAL YEAR PROJECT 2,6
EH4053 , AUGUSTAN AND ROMANTIC LITERATURE,6
EH4063 , AUGUSTAN AND ROMANTIC LITERATURE,6
EH4073 , DRAMA: MEDIEVAL AND EARLY MODERN,6
EH4102 , INTRODUCTION TO LITERATURE,6
EH4103 , RENAISSANCE ENGLISH LITERATURE,6
EH4104 , AUGUSTAN LITERATURE,6
EH4105 , NINETEENTH CENTURY STUDIES,6
EH4108 , TWENTIETH CENTURY ENGLISH LITERATURE,6
EH4111 , THE IRISH LITERARY REVIVAL,6
EH4116 , CONTEMPORARY IRISH WRITING IN ENGLISH,6
EH4118 , LITERARY THEORY,6
EH4121 , GOTHIC LITERATURE IN IRELAND,6
EH4125 , FEMINIST LITERARY THEORY,6
EH4126 , IMAGINED SPACES: IRISH CULTURAL TEXTS,6
EH4131 , COMPOSITION AND RHETORIC,6
EH4135 ," YEATS, HEANEY AND THE POLITICS OF IRISH IDENTITY",6
EH4141 , ENGLISH LITERATURE 1: NOVELS AND SHORT FICTION,6
EH4145 , AMERICAN LITERATURE,6
EH4158 , FROM JAMES JOYCE TO MAEVE BRENNAN: 20TH CENTURY IRISH FICTION,6
EH4168 , MODERN IRISH POETRY: AFTER YEATS,6
EH4733 , TEACHING ENGLISH AS A SECOND LANGUAGE,6
EH4737 , UNDERGRADUATE DISSERTATION IN ENGLISH 1,6
EH4738 , UNDERGRADUATE DISSERTATION IN ENGLISH 2,6
EH4754 , LITERATURE AND SOCIETY,6
EH4900 , CREATIVE WRITING: SHORT FICTION,6
EH4903 , REPRESENTATIONS OF IRISH MYTHS AND LEGENDS (SUMMER SCHOOL),6
EH5741 ," ""MODERNISMS: TEXTS AND CONTEXTS""",9
EH5761 , Research Methodology 1,3
EH5771 , MIGRATION AND BIOPOLITICS IN 21st CENTURY LITERATURE,9
EH5772 , Analysing English in Context,9
EH5782 , RESEARCH METHODOLOGY 2,3
EH5792 , WORLD LITERATURE,9
EH6001 , APPLIED WRITING AND EDITING SKILLS,3
EH6002 , RESEARCH METHODS IN LITERARY AND CULTURAL STUDIES,9
EH6003 , DISSERTATION (MA IN ENGLISH),30
EH6011 , LITERARY MODERNISM,9
EH6012 , POLITICS AND AMERICAN LITERATURE,9
EH6013 , DISSERTATION IN CREATIVE WRITING,30
EH6021 , GENDER AND SEXUALITY IN IRISH WRITING,9
EH6022 , POT,9
EH6031 ," LITERATURE, FILM AND HUMAN RIGHTS",9
EH6032 , ISSUES IN MODERN AND CONTEMPORARY POETRY,9
EH6041 , CRITICAL IRISH STUDIES 1: CORE ISSUES AND TEXTS,9
EH6042 , FEMINIST LITERARY THEORY,9
EH6051 , CREATIVE WRITING I,9
EH6052 ," THEORETICAL APPROACHES TO GENDER, CULTURE AND SOCIETY II",9
EH6053 , PUBLIC FICTION AND PRIVATE LIFE: READING AND WRITING BIOGRAPHY,9
EH6061 , PROJECT DEVELOPMENT FOR CREATIVE WRITERS 1,6
EH6062 , IRISH AMERICAS IN LITERATURE AND CULTURE,9
EH6071 , ADVANCED EDITING: CREATING A LITERARY JOURNAL,3
EH6072 , SITUATING IRISH GOTHIC,9
EH6081 , ADVANCED EDITING: CREATING A LITERARY JOURNAL 1,3
EH6082 , CREATIVE WRITING II,9
EH6092 , RESEARCH METHODS IN CREATIVE WRITING,3
EH6102 , ELEMENTS OF NARRATIVE AND DRAMA,9
EH6112 , INDIVIDUAL CREATIVE WRITING PROJECT,6
EH6122 , ADVANCED EDITING: CREATING A LITERARY JOURNAL 2,3
EH6132 , PRINCIPLES OF STORYTELLING FOR CREATIVE WRITERS,6
EH6142 , CREATIVE WRITERS IN THE COMMUNITY,9
EI5011 , THE THEORY AND METHODOLOGY OF THE STUDY OF INTEGRA,9
EI5032 , DISSERTATION,30
EI5042 , CENTRAL AND EASTERN EUROPE,9
EJ4106 , PROJECT 1 (PHYSICAL EDUCATION),6
EJ4107 , PROJECT 2 (PHYSICAL EDUCATION),6
EJ4108 , PROJECT 3,3
EJ4116 , PROJECT 1 (RESEARCH METHODS),3
EJ4117 , PROJECT 2 (PHYSICAL EDUCATION),3
EJ4207 , PROJECT 1 (BIOLOGICAL SCIENCE),6
EJ4208 , PROJECT 2 (BIOLOGICAL SCIENCE),6
EL5002 , PROFESSIONAL WRITING,6
EL5003 , LEARNING DESIGN,6
EL5012 , WORKPLACE COMMUNICATION SKILLS,6
EL5023 , INFORMATION DESIGN,6
EL6003 , E,30
EL6011 , INSTRUCTIONAL DESIGN 1,9
EL6013 , MA IN TECHNICAL COMMUNICATION AND E,30
EL6021 , INTERACTIVE COURSEWARE DESIGN AND DELIVERY WORKSHOP 1,9
EL6022 , INTERACTIVE COURSEWARE DESIGN AND DELIVERY WORKSHOP 2,9
EL6031 , INTERACTIVE COURSEWARE PROJECT 1,15
EL6032 , INTERACTIVE COURSEWARE PROJECT 2,15
EL6041 , INSTRUCTIONAL DESIGN,9
EL6042 , SEMINAR SERIES: ISSUES IN E,3
EL6052 , E,9
EL6062 , INNOVATIVE LEARNING AND COMMUNICATION TECHNOLOGIES,9
EL6072 , INTERACTIVE COURSEWARE WORKSHOP,9
EL6082 , LEARNING AND COLLABORATION TECHNOLOGIES,3
EM4004 , SUBJECT PEDAGOGICS 1 (MATHEMATICS),6
EM4006 , SUBJECT PEDAGOGICS 2 (MATHEMATICS),6
EN2001 , INTRODUCTION TO CHILDREN WITH SPECIAL NEEDS,6
EN2002 , INTRODUCTION TO SOCIAL THEORY AND THE SOCIOLOGY OF DISABILITY,6
EN2003 , HEALTH AND SAFETY ISSUES FOR CARERS OF CHILDREN WITH SPECIAL NEEDS,6
EN2004 ," PHYSICAL ACTIVITIES, HEALTH AND LEISURE ACTIVITIES FOR THE CHILD WITH SPECIAL NEEDS",6
EN2013 , WORKING WITH PARENTS AND GUARDIANS AND TRANSITIONAL PLANNING FOR CHILDREN WITH SPECIAL NEEDS,6
EN2014 , THE CHILD WITH SPECIAL NEEDS: OVERVIEW OF LANGUAGE SKILLS AND COMMUNICATION DEVELOPMENT,6
EN2023 , EMPLOYMENT PRACTICE (SPECIAL NEEDS PROGRAMME),6
EN2031 , MOTIVATING CHILDREN WITH SPECIAL NEEDS,6
EN2052 ," THE ROLE OF POLICY MAKERS, STATE AND VOLUNTARY SERVICES IN SPECIAL NEEDS TRAINING",6
EN2711 , Early Years Inclusive Policy and Practice,6
EN2712 ," The Role of the ECCE Practitioner: Identity, Influence and Professional Practice",6
EN2721 , Effective Communication to Support Inclusion,6
EN2722 , Informing Practice through Early Childhood Assessment,6
EN2731 , Creative Inclusive Learning Environments,6
EN2732 , The Pedagogy of an Inclusive Early Years Curriculum,6
EN3013 ," HOME, SCHOOL AND COMMUNITY LIAISON FOR CHILDREN WITH SPECIAL NEEDS",6
EN3014 , PHYSICAL AND LEISURE ACTIVITIES FOR CHILDREN WITH SPECIAL NEEDS,6
EN3020 , FOUNDATION SKILLS,6
EN3023 , PROFESSIONAL ROLES AND PRACTICES: WORKING WITH CHILDREN WITH SPECIAL EDUCATIONAL NEEDS,6
EN3024 , SPEECH AND COMMUNICATION ISSUES FOR CHILDREN WITH SPECIAL NEEDS,6
EN3030 , RESEARCH METHODS,6
EN3033 , EMPLOYMENT PRACTICE,6
EN3034 , PROJECT 2,6
EN3043 , PROJECT 1,6
EN3051 , EXPERIENTIAL GROUP WORK AND GROUP PROCESSES IN THE CONTEXT OF DRUG AND ALCOHOL STUDIES,6
EN3052 ," SUBSTANCE USE: COMMUNITY, SOCIAL AND POLICY PERSPECTIVES",6
EN3061 , SUBSTANCE USE: THEORETICAL FOUNDATIONS,6
EN3062 , SUBSTANCES AND MENTAL HEALTH,6
EN3071 , MODELS OF INTERVENTIONS: THEORY AND PRACTICE 1,9
EN3072 , MODELS OF INTERVENTIONS: THEORY AND PRACTICE 2,9
EN3081 , RESEARCH AND REFLECTIVE PRACTICE 1,9
EN3082 , RESEARCH AND REFLECTIVE PRACTICE 2,9
EN3091 , INTRODUCTION TO CHILDREN WITH SPECIAL NEEDS,6
EN3092 , INCLUSIVE POLICIES FOR CHILDREN WITH SPECIAL EDUCATION NEEDS,6
EN3131 , SOCIAL MODEL OF DISABILITY,6
EN3132 , HEALTH AND SAFETY FOR THE SPECIAL NEEDS SECTOR,6
EN3142 , KEY THEMES IN SPECIAL NEEDS HEALTH EDUCATION,6
EN3182 , MENTAL HEALTH 1: WELL,18
EN4001 , INTRODUCTION TO TEACHING,6
EN4002 , INTROD TO PRINCIPLES AND PRACTICE OF PRIMARY EDUC,6
EN4003 , THE PLANNING AND MGT OF CLASSROOM LEARNING,6
EN4004 , INTRODUCTION TO REFLECTIVE PRACTICE,3
EN4005 , EDUCATION AND SOCIETY IN IRELAND,6
EN4006 , CURRICULUM STUDIES,6
EN4007 , STUDYING SCHOOL ORGANISATION,6
EN4008 , TEACHER AS PROFESSIONAL,6
EN4012 , HOW YOUNG PEOPLE LEARN,6
EN4014 , TECHNOLOGY AND SOCIETY,3
EN4015 , CURRICULUM AND POLICY STUDIES,6
EN4016 , RESPONDING TO DIVERSITY IN EDUCATION,6
EN4017 , UNDERSTANDING SCHOOLS,6
EN4018 , TEACHER AS PROFESSIONAL,6
EN4021 , LIFESKILLS,6
EN4022 , EDUCATIONAL TECHNOLOGY FOR TEACHING AND LEARNING,6
EN4023 , PLANNING FOR TEACHING AND LEARNING 1,6
EN4024 , PLANNING FOR TEACHING AND LEARNING 2,3
EN4025 , INCLUSIVE EDUCATION 1: CONTEMPORARY PERSPECTIVES,6
EN4026 , INCLUSIVE EDUCATION 2: SPECIAL EDUCATIONAL NEEDS,6
EN4027 , HEALTH PROMOTION IN EXERCISE AND HEALTH FITNESS,6
EN4031 , BECOMING A TEACHER: IDENTITY AND COMMUNICATION,6
EN4032 , UNDERSTANDING YOUNG PEOPLE AND HOW THEY LEARN,6
EN4033 , PLANNING FOR LEARNING,6
EN4034 , PREPARATION FOR SCHOOL PLACEMENT,6
EN4035 , CURRICULUM AND ASSESSMENT: POLICY AND PRACTICE,6
EN4036 , SUBJECT PEDAGOGY 2 (COMPUTER SCIENCE AND MATHS),6
EN4037 , UNDERSTANDING SCHOOLS,6
EN4041 , CONTEMPORARY UNDERSTANDINGS AND THINKING ON EDUCATION,6
